Variable / Field Name,Section Header,Form Name,Form Display Name,Form Note,Field Type,multipleChoice,Allow,headerImage,headerImageSize,Field Label,"Choices, Calculations, OR Slider Labels",minVal,maxVal,Branching Logic (Show field only if...),schedule,section,version
now_excited,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **calm vs. excited** do you feel right now?,"1, 1, 1F9D8-200D-2642-FE0F | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F483",calm/quiet,very excited/aroused,,all_day_questions,Mood Circumplex and Physical States,
now_energy,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **tired vs. energetic** do you feel right now?,"1, 1, new/lowBattery | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F50B",very tired/sluggish,very energetic/lively,,all_day_questions,Mood Circumplex and Physical States,
now_distracted,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How well can you **concentrate or focus** right now?,"1, 1, 1F9D0 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F92F",very focused/attentive,very unfocused/distracted,,all_day_questions,Mood Circumplex and Physical States,
now_irritable,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **irritable or easily angered** do you feel right now?,"1, 1, 1F60C | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F621",not at all irritable/angry,very irritable/angry,,all_day_questions,Mood Circumplex and Physical States,
now_worried,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **worried** do you feel right now?,"1, 1, 1F60C | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F627",not at all worried,very worried,,all_day_questions,Mood Circumplex and Physical States,
now_guilty,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **guilty** do you feel right now?,"1, 1, 1F60C | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F61F",not at all guilty,very guilty,,all_day_questions,Mood Circumplex and Physical States,
now_decisions,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How well can you make **decisions** right now?,"1, 1, 1F616 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F469-200D-2696-FE0F",not at all/very indecisive,very well/very decisve,,all_day_questions,Mood Circumplex and Physical States,
now_quick_thinking,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **quick** is your **thinking**?,"1, 1, 1F40C | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 26A1",slow/cannot think of things,very quick/lots of ideas,,all_day_questions,Mood Circumplex and Physical States,
now_enjoyment,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How much are you able to **enjoy and feel pleasure** in things?,"1, 1, 1F610 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F929",no pleasure or enjoyment,really enjoying things,,all_day_questions,Mood Circumplex and Physical States,
now_fidgety,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **fidgety or restless** do you feel right now compared to your **usual self**?,"1, 1, 1F9CD | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F938",not at all restless,very restless/fidgety/cannot sit still,,all_day_questions,Mood Circumplex and Physical States,
now_hungry,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **hungry** do you feel right now?,"1, 1, 1F642 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F62C",feeling full/not at all hungry,extremely hungry,,all_day_questions,Mood Circumplex and Physical States,
now_sleepy,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,,,How **sleepy** do you feel right now?,"1, 1, 1F642 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, E280",not at all sleepy,very sleepy,,all_day_questions,Mood Circumplex and Physical States,
now_thoughts_positive,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,new/thoughtBalloon.png,150x150,"To what extent are you having **positive thoughts**, thinking about nice experiences or things that make you feel good?","1, 1, 1F610 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F324",not at all,very frequently,,all_day_questions,Positive and Negative Thoughts,
now_thoughts_negative,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,new/thoughtBalloon.png,150x150,"To what extent are you having **negative thoughts**, thinking about unpleasant experiences or things that make you feel bad?","1, 1, 1F642 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 26C8",not at all,very frequently,,all_day_questions,Positive and Negative Thoughts,
now_thoughts_negative_about,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,new/thoughtBalloon.png,150x150,Were these thoughts about:,"1, things you did that you regret, 1F614 | 2, things that happened to you or to others, 1F329 | 3, worries that you have, 1F4AD | 4, other negative thoughts, 2753",,,[now_thoughts_negative] > 1,all_day_questions,Positive and Negative Thoughts,
now_thoughts_negative_severity,,morning_set,EMA Assessment (Morning),A morning questionnaire,slider,,,new/thoughtBalloon.png,150x150,How severe or disturbing would you say these thoughts were?,"1, 1, E0A3 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7, 1F6A8",not at all severe or disturbing,very severe or disturbing,[now_thoughts_negative] > 1,all_day_questions,Positive and Negative Thoughts,
now_thoughts_dangerous,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/thoughtDanger.png,150x150,Were these thoughts about things that could be dangerous for you physically?,"1, Yes | 0, No",,,[now_thoughts_negative] > 1,all_day_questions,Positive and Negative Thoughts,
now_thoughts_suicide,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/thoughtRed.png,150x150,Since the last signal did you have thoughts of harming yourself or of suicide?,"1, Yes | 0, No",,,[now_thoughts_dangerous] = 1,all_day_questions,Positive and Negative Thoughts,
now_thoughts_suicide_warning,,morning_set,EMA Assessment (Morning),A morning questionnaire,markdown-message,,,new/helpHeart.png,150x150,"The information you are providing now is not immediately transmitted to your doctor or to people who can help you. If you think that you are at the slightest risk of hurting yourself, **please call the following number now to talk about it. Someone is available at any time of the day or night:** \r\n\r\n **1-800-273-8255**",,,,[now_thoughts_suicide] = 1,all_day_questions,Positive and Negative Thoughts,
since_rest,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/bed.png,150x150,"Since the last questionnaire, did you have a nap or rest?","1, Yes | 0, No",,,,all_day_questions,Physical Activity,
since_rest_duration,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/zzzBedTimer.png,150x150,About **how long** was your nap or rest?,"1, less than 30 minutes | 2, 30-60 minutes | 3, 60-120 minutes | 4, longer than 120 minutes",,,[since_rest] = 1,all_day_questions,Physical Activity,
since_rest_fell_asleep,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/sleepFace.png,150x150,Did you actually **fall asleep** during the nap or rest?,"1, Yes | 0, No",,,[since_rest] = 1,all_day_questions,Physical Activity,
since_physical_activity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,,,Please select the **intensity level of activities** you did since you woke up:,"1, vigorous activities (e.g. running/fast cycling/heavy lifting or digging), new/activityVigorous | 2, moderate activities (e.g. tennis/bicycling/carrying light loads), new/activityModerate | 3, light activities (e.g. walking/climbing stairs/routine household chores), new/activityLight",,,,all_day_questions,Physical Activity,
since_vigorous_activity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/activityVigorousTimer.png,150x150,"Since you woke up, how many minutes did you do **vigorous activities** including intensive sports or exercise (such as running or fast cycling) or intensive physical work (such as heavy lifting or digging)?","1, 5 minutes | 2, 10 minutes | 3, 20 minutes | 4, 30 minutes | 5, 40 minutes | 6, 50 minutes | 7, 60 minutes or more",,,[since_physical_activity].includes(1),all_day_questions,Physical Activity,
since_vigorous_activity_planned,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/activityVigorousPlanned.png,150x150,Was this **vigorous activity** (or activities) part of a **planned** workout or exercise routine?,"1, Yes | 0, No",,,[since_physical_activity].includes(1),all_day_questions,Physical Activity,
since_moderate_activity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/activityModerateTimer.png,150x150,"Since you woke up, how many minutes did you do **moderate activities** (activities that make you breathe somewhat harder than usual such as playing tennis, bicycling, carrying light loads)?","1, 5 minutes | 2, 10 minutes | 3, 20 minutes | 4, 30 minutes | 5, 40 minutes | 6, 50 minutes | 7, 60 minutes or more",,,[since_physical_activity].includes(2),all_day_questions,Physical Activity,
since_moderate_activity_planned,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/activityModeratePlanned.png,150x150,Was this **moderate activity** (or activities) part of a **planned** workout or exercise routine?,"1, Yes | 0, No",,,[since_physical_activity].includes(2),all_day_questions,Physical Activity,
since_light_activity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/activityLightTimer.png,150x150,"Since you woke up, how many minutes did you do **light activities** (activities that may not make you breathe somewhat harder than usual such as walking, climbing stairs, routine household chores, etc.)?","1, 5 minutes | 2, 10 minutes | 3, 20 minutes | 4, 30 minutes | 5, 40 minutes | 6, 50 minutes | 7, 60 minutes or more",,,[since_physical_activity].includes(3),all_day_questions,Physical Activity,
since_light_activity_planned,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/activityLightPlanned.png,150x150,Was this **light activity** (or activities) part of a **planned** workout or exercise routine?,"1, Yes | 0, No",,,[since_physical_activity].includes(3),all_day_questions,Physical Activity,
since_had_drink,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,,,"Since you woke up, did you drink:","1, water, new/water | 2, milk, 1F95B | 3, a caffeinated beverage (like coffee/tea/soda etc.), new/caffeine | 4, an alcoholic beverage (wine/beer/liquor etc.), 1F377 | 5, a beverage containing sugar like juice or caffeine-free soda, 1F9C3 | 6, another type of drink, 2754 | 7, none, 274C",,,,all_day_questions,Intake: Food/drink/substances,
since_had_drink_water_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/water.png,150x150,How many 8 oz glasses of **water** did you consume?,"1, 1 glass | 2, 2 glasses | 3, 3 glasses | 4, 4 glasses | 5, 5 or more glasses",,,[since_had_drink].includes(1),all_day_questions,Intake: Food/drink/substances,
since_had_drink_milk_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/milk.png,150x150,How many 8 oz glasses of **milk** did you consume?,"1, 1 glass | 2, 2 glasses | 3, 3 glasses | 4, 4 glasses | 5, 5 or more glasses",,,[since_had_drink].includes(2),all_day_questions,Intake: Food/drink/substances,
since_had_drink_caffeinated_type,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,new/caffeine.png,150x150,What type of **caffeinated beverage** did you consume?,"1, soda (coke/pepsi/other caffeinated soda), 1F964 | 2, energy drink, new/energyDrink | 3, coffee, 2615 | 4, tea, 1F375 | 5, other, 2754",,,[since_had_drink].includes(3),all_day_questions,Intake: Food/drink/substances,
since_had_drink_caffeinated_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/caffeine.png,150x150,How many 8 oz glasses of **caffeinated drinks** did you consume?,"1, 1 glass | 2, 2 glasses | 3, 3 glasses | 4, 4 glasses | 5, 5 or more glasses",,,[since_had_drink].includes(3),all_day_questions,Intake: Food/drink/substances,
since_had_drink_alcohol_type,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,new/alcohol.png,150x150,What type of **alcoholic beverage** did you consume?,"1, red wine, 1F377 | 2, white wine, 1F379 | 3, champagne/sparkling wine, 1F942 | 4, beer, 1F37A | 5, cocktail, 1F378 | 6, whisky or other strong alcohol, 1F943 | 7, other type of alcoholic drink, 2754",,,[since_had_drink].includes(4),all_day_questions,Intake: Food/drink/substances,
since_had_drink_alcohol_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/alcohol.png,150x150,How many servings of **alcohol** did you consume?,"1, 1 drink | 2, 2 drinks | 3, 3 drinks | 4, 4 drinks | 5, 5 or more drinks",,,[since_had_drink].includes(4),all_day_questions,Intake: Food/drink/substances,
since_had_drink_sugar_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/juice.png,150x150,"How many 8 oz glasses of **high-sugar drinks** (e.g., juice, soda, some coffee beverages) did you consume?","1, 1 glass | 2, 2 glasses | 3, 3 glasses | 4, 4 glasses | 5, 5 or more glasses",,,[since_had_drink].includes(5),all_day_questions,Intake: Food/drink/substances,
since_eaten_amount,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,,,"Since you woke up, which of the following did you have?","1, snacks, new/snack | 2, small meals, 1F96A | 3, regular/full meals, 1F35B | 4, large meals, 1F967 | 5, none, 274C",,,,all_day_questions,Intake: Food/drink/substances,
since_eaten_snacks_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/snack.png,150x150,How many **snacks** did you have?,"1, 1 snack | 2, 2 snacks | 3, 3 snacks | 4, 4 snacks | 5, 5 snacks | 6, 6 snacks | 7, 7 snacks | 8, 8 snacks | 9, 9 snacks | 10, 10 snacks | 11, more than 10 snacks",,,[since_eaten_amount].includes(1),all_day_questions,Intake: Food/drink/substances,
since_eaten_small_meal_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/sandwich.png,150x150,How many **small meals** did you have?,"1, 1 small meal | 2, 2 small meals | 3, 3 small meals | 4, 4 small meals | 5, 5 small meals | 6, more than 5 small meals",,,[since_eaten_amount].includes(2),all_day_questions,Intake: Food/drink/substances,
since_eaten_regular_meal_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/regularMeal.png,150x150,How many **regular/full meals** did you have?,"1, 1 full meal | 2, 2 full meals | 3, 3 full meals | 4, more than 3 full meals",,,[since_eaten_amount].includes(3),all_day_questions,Intake: Food/drink/substances,
since_eaten_large_meal_quantity,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/largeMeal.png,150x150,How many **large meals** did you have?,"1, 1 large meal | 2, 2 large meals | 3, more than 2 large meals",,,[since_eaten_amount].includes(4),all_day_questions,Intake: Food/drink/substances,
since_eaten_when,,morning_set,EMA Assessment (Morning),A morning questionnaire,time,,,new/allFoodTime.png,150x150,About **what time** did you eat your largest snack/meal?,,,,[since_eaten_amount].includes(1) or [since_eaten_amount].includes(2) or [since_eaten_amount].includes(3) or [since_eaten_amount].includes(4),all_day_questions,Intake: Food/drink/substances,
since_eaten_duration,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/allFoodTimer.png,150x150,For **how long** did you eat in total?,"1, 5 minutes or less | 2, 10 minutes | 3, 15 minutes | 4, 30 minutes | 5, 45 minutes | 6, 1 hour | 7, 1 hour 30 minutes | 8, 2 hours or more",,,[since_eaten_amount].includes(1) or [since_eaten_amount].includes(2) or [since_eaten_amount].includes(3) or [since_eaten_amount].includes(4),all_day_questions,Intake: Food/drink/substances,
since_eaten_type,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,,,Please think about all the foods you ate since you woke up. Please select **all types** of food you ate:,"1, beef/pork/lamb, 1F969 | 2, chicken or other poultry, 1F357 | 3, eggs, 1F95A | 4, fish, E000 | 5, dairy (yogurt/milk/cheese), 1F9C0 | 6, bread/pasta/cereal/other starchy food, 1F956 | 7, fruits, 1F353 | 8, vegetables, 1F966 | 9, sweet foods or candy, 1F36D | 10, energy bars, new/energyBar | 11, potato chips or other salty snacks, 1F9C2 | 12, other, 2754",,,[since_eaten_amount].includes(1) or [since_eaten_amount].includes(2) or [since_eaten_amount].includes(3) or [since_eaten_amount].includes(4),all_day_questions,Intake: Food/drink/substances,
since_eaten_chocolate,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/chocolate.png,150x150,Did you eat chocolate?,"1, Yes | 0, No",,,[since_eaten_type].includes(9),all_day_questions,Intake: Food/drink/substances,
since_substances,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,1,,,,"Since you woke up, which of the following did you use?","1, cigarettes, 1F6AC | 2, cannabis/pot, new/marijuana | 3, other drug, 2754 | 4, none, 1F6AB",,,,all_day_questions,Intake: Food/drink/substances,
since_substances_cigarettes,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/cigarette.png,150x150,How many **cigarettes** did you have?,"1, 1 cigarette | 2, 2 cigarettes | 3, 3 cigarettes | 4, 4 cigarettes | 5, 5 cigarettes | 6, 6-10 cigarettes | 7, 10-20 cigarettes | 8, over 20 cigarettes",,,[since_substances].includes(1),all_day_questions,Intake: Food/drink/substances,
since_substances_cannabis,,morning_set,EMA Assessment (Morning),A morning questionnaire,radio,,autoAdvance,new/marijuana.png,150x150,How many **joints (of cannabis/pot)** did you have?,"1, 1 joint | 2, 2 joints | 3, 3 joints | 4, 4 joints | 5, 5 joints or more",,,[since_substances].includes(2),all_day_questions,Intake: Food/drink/substances,
